Commodity,Date,Unit,Minimum,Maximum,Average
Cabbage(Local),2015-03-18,Kg,9.0,12.0,10.5
Cauli Local,2015-03-18,Kg,15.0,18.0,16.5
Cauli Terai,2015-03-18,Kg,12.0,15.0,13.5
Raddish Red,2015-03-18,Kg,45.0,50.0,47.5
Raddish White(Local),2015-03-18,Kg,14.0,18.0,16.0
Brinjal Long,2015-03-18,Kg,25.0,30.0,27.5
Brinjal Round,2015-03-18,Kg,45.0,50.0,47.5
Cow pea(Long),2015-03-18,Kg,80.0,100.0,90.0
Green Peas,2015-03-18,Kg,45.0,50.0,47.5
French Bean(Local),2015-03-18,Kg,45.0,55.0,50.0
Sword Bean,2015-03-18,Kg,55.0,60.0,57.5
Bitter Gourd,2015-03-18,Kg,70.0,80.0,75.0
Bottle Gourd,2015-03-18,Kg,35.0,40.0,37.5
Pointed Gourd(Local),2015-03-18,Kg,55.0,65.0,60.0
Smooth Gourd,2015-03-18,Kg,70.0,80.0,75.0
Pumpkin,2015-03-18,Kg,25.0,30.0,27.5
Squash(Long),2015-03-18,Kg,18.0,20.0,19.0
Turnip,2015-03-18,Kg,55.0,60.0,57.5
Okara,2015-03-18,Kg,70.0,80.0,75.0
Barela,2015-03-18,Kg,35.0,40.0,37.5
Arum,2015-03-18,Kg,30.0,35.0,32.5
Christophine,2015-03-18,Kg,25.0,30.0,27.5
Brd Leaf Mustard,2015-03-18,Kg,18.0,20.0,19.0
Spinach Leaf,2015-03-18,Kg,30.0,35.0,32.5
Cress Leaf,2015-03-18,Kg,30.0,35.0,32.5
Mustard Leaf,2015-03-18,Kg,25.0,30.0,27.5
Fenugreek Leaf,2015-03-18,Kg,55.0,60.0,57.5
Onion Green,2015-03-18,Kg,30.0,35.0,32.5
Bakula,2015-03-18,Kg,30.0,35.0,32.5
Yam,2015-03-18,Kg,28.0,30.0,29.0
Mushroom(Kanya),2015-03-18,Kg,100.0,110.0,105.0
Asparagus,2015-03-18,Kg,500.0,550.0,525.0
Brocauli,2015-03-18,Kg,40.0,45.0,42.5
Sugarbeet,2015-03-18,Kg,50.0,60.0,55.0
Drumstick,2015-03-18,Kg,190.0,200.0,195.0
Red Cabbbage,2015-03-18,Kg,60.0,70.0,65.0
Lettuce,2015-03-18,Kg,30.0,35.0,32.5
Celery,2015-03-18,Kg,110.0,120.0,115.0
Parseley,2015-03-18,Kg,160.0,170.0,165.0
Fennel Leaf,2015-03-18,Kg,55.0,60.0,57.5
Mint,2015-03-18,Kg,190.0,200.0,195.0
Turnip A,2015-03-18,Kg,55.0,60.0,57.5
Tamarind,2015-03-18,Kg,100.0,110.0,105.0
Bamboo Shoot,2015-03-18,Kg,60.0,70.0,65.0
Tofu,2015-03-18,Kg,60.0,70.0,65.0
Gundruk,2015-03-18,Kg,160.0,170.0,165.0
Apple(Jholey),2015-03-18,Kg,100.0,110.0,105.0
Banana,2015-03-18,Doz,60.0,70.0,65.0
Lime,2015-03-18,Kg,400.0,500.0,450.0
Pomegranate,2015-03-18,Kg,200.0,210.0,205.0
Grapes(Green),2015-03-18,Kg,90.0,100.0,95.0
Orange(Nepali),2015-03-18,Kg,65.0,70.0,67.5
Water Melon(Green),2015-03-18,Kg,38.0,40.0,39.0
Sweet Orange,2015-03-18,Kg,70.0,80.0,75.0
Pineapple,2015-03-18,1 Pc,80.0,90.0,85.0
Cucumber(Local),2015-03-18,Kg,32.0,36.0,34.0
Jack Fruit,2015-03-18,Kg,55.0,60.0,57.5
Pear(Local),2015-03-18,Kg,200.0,220.0,210.0
Papaya(Nepali),2015-03-18,Kg,45.0,50.0,47.5
Mombin,2015-03-18,Kg,100.0,110.0,105.0
Sugarcane,2015-03-18,1 Pc,40.0,50.0,45.0
Kinnow,2015-03-18,Kg,60.0,70.0,65.0
Ginger,2015-03-18,Kg,70.0,80.0,75.0
Chilli Dry,2015-03-18,Kg,190.0,200.0,195.0
Chilli Green,2015-03-18,Kg,75.0,80.0,77.5
Capsicum,2015-03-18,Kg,80.0,90.0,85.0
Garlic Green,2015-03-18,Kg,40.0,45.0,42.5
Coriander Green,2015-03-18,Kg,40.0,50.0,45.0
Garlic Dry Chinese,2015-03-18,Kg,130.0,135.0,132.5
Garlic Dry Nepali,2015-03-18,Kg,90.0,100.0,95.0
Clive Green,2015-03-18,Kg,45.0,50.0,47.5
Fish Fresh,2015-03-18,Kg,210.0,220.0,215.0
Tomato Big(Nepali),2015-03-19,Kg,38.0,40.0,39.0
Tomato Small(Local),2015-03-19,Kg,50.0,60.0,55.0
Potato Red,2015-03-19,Kg,16.0,18.0,17.0
Potato White,2015-03-19,Kg,14.0,16.0,15.0
Onion Dry (Indian),2015-03-19,Kg,35.0,38.0,36.5
Carrot(Local),2015-03-19,Kg,20.0,25.0,22.5
Cabbage(Local),2015-03-19,Kg,12.0,14.0,13.0
Cauli Local,2015-03-19,Kg,15.0,18.0,16.5
Cauli Terai,2015-03-19,Kg,12.0,15.0,13.5
Raddish Red,2015-03-19,Kg,40.0,45.0,42.5
Raddish White(Local),2015-03-19,Kg,25.0,30.0,27.5
Brinjal Long,2015-03-19,Kg,25.0,30.0,27.5
Brinjal Round,2015-03-19,Kg,45.0,50.0,47.5
Cow pea(Long),2015-03-19,Kg,80.0,90.0,85.0
Green Peas,2015-03-19,Kg,45.0,50.0,47.5
French Bean(Local),2015-03-19,Kg,55.0,60.0,57.5
Sword Bean,2015-03-19,Kg,45.0,50.0,47.5
Bitter Gourd,2015-03-19,Kg,110.0,120.0,115.0
Bottle Gourd,2015-03-19,Kg,35.0,40.0,37.5
Pointed Gourd(Local),2015-03-19,Kg,55.0,60.0,57.5
Smooth Gourd,2015-03-19,Kg,70.0,80.0,75.0
Pumpkin,2015-03-19,Kg,35.0,40.0,37.5
Squash(Long),2015-03-19,Kg,16.0,20.0,18.0
Turnip,2015-03-19,Kg,55.0,60.0,57.5
Okara,2015-03-19,Kg,70.0,80.0,75.0
Barela,2015-03-19,Kg,35.0,40.0,37.5
Arum,2015-03-19,Kg,30.0,35.0,32.5
Christophine,2015-03-19,Kg,25.0,30.0,27.5
Brd Leaf Mustard,2015-03-19,Kg,20.0,25.0,22.5
Spinach Leaf,2015-03-19,Kg,40.0,45.0,42.5
Cress Leaf,2015-03-19,Kg,40.0,45.0,42.5
Mustard Leaf,2015-03-19,Kg,45.0,50.0,47.5
Fenugreek Leaf,2015-03-19,Kg,55.0,60.0,57.5
Onion Green,2015-03-19,Kg,30.0,35.0,32.5
Bakula,2015-03-19,Kg,30.0,35.0,32.5
Mushroom(Kanya),2015-03-19,Kg,140.0,150.0,145.0
Asparagus,2015-03-19,Kg,500.0,600.0,550.0
Brocauli,2015-03-19,Kg,40.0,50.0,45.0
Sugarbeet,2015-03-19,Kg,50.0,60.0,55.0
Drumstick,2015-03-19,Kg,200.0,210.0,205.0
Red Cabbbage,2015-03-19,Kg,60.0,70.0,65.0
Lettuce,2015-03-19,Kg,30.0,40.0,35.0
Celery,2015-03-19,Kg,80.0,90.0,85.0
Parseley,2015-03-19,Kg,120.0,130.0,125.0
Fennel Leaf,2015-03-19,Kg,55.0,60.0,57.5
Mint,2015-03-19,Kg,150.0,160.0,155.0
Turnip A,2015-03-19,Kg,55.0,60.0,57.5
Tamarind,2015-03-19,Kg,100.0,110.0,105.0
Bamboo Shoot,2015-03-19,Kg,60.0,70.0,65.0
Tofu,2015-03-19,Kg,60.0,70.0,65.0
Gundruk,2015-03-19,Kg,160.0,170.0,165.0
Apple(Jholey),2015-03-19,Kg,100.0,110.0,105.0
Banana,2015-03-19,Doz,60.0,70.0,65.0
Lime,2015-03-19,Kg,400.0,500.0,450.0
Pomegranate,2015-03-19,Kg,200.0,210.0,205.0
Grapes(Green),2015-03-19,Kg,100.0,110.0,105.0
Orange(Nepali),2015-03-19,Kg,65.0,70.0,67.5
Water Melon(Green),2015-03-19,Kg,34.0,36.0,35.0
Sweet Orange,2015-03-19,Kg,70.0,80.0,75.0
Pineapple,2015-03-19,1 Pc,80.0,90.0,85.0
Cucumber(Local),2015-03-19,Kg,25.0,30.0,27.5
Jack Fruit,2015-03-19,Kg,55.0,65.0,60.0
Pear(Local),2015-03-19,Kg,200.0,220.0,210.0
Papaya(Nepali),2015-03-19,Kg,45.0,50.0,47.5
Mombin,2015-03-19,Kg,100.0,110.0,105.0
Sugarcane,2015-03-19,1 Pc,40.0,50.0,45.0
Kinnow,2015-03-19,Kg,55.0,60.0,57.5
Ginger,2015-03-19,Kg,70.0,80.0,75.0
Chilli Dry,2015-03-19,Kg,190.0,200.0,195.0
Chilli Green,2015-03-19,Kg,70.0,80.0,75.0
Capsicum,2015-03-19,Kg,70.0,80.0,75.0
Garlic Green,2015-03-19,Kg,40.0,45.0,42.5
Coriander Green,2015-03-19,Kg,30.0,40.0,35.0
Garlic Dry Chinese,2015-03-19,Kg,130.0,135.0,132.5
Garlic Dry Nepali,2015-03-19,Kg,90.0,100.0,95.0
Clive Dry,2015-03-19,Kg,100.0,110.0,105.0
Clive Green,2015-03-19,Kg,55.0,60.0,57.5
Fish Fresh,2015-03-19,Kg,210.0,220.0,215.0
Tomato Big(Nepali),2015-03-20,Kg,35.0,40.0,37.5
Tomato Small(Local),2015-03-20,Kg,50.0,60.0,55.0
Potato Red,2015-03-20,Kg,18.0,20.0,19.0
Potato White,2015-03-20,Kg,14.0,16.0,15.0
Onion Dry (Indian),2015-03-20,Kg,35.0,38.0,36.5
Carrot(Local),2015-03-20,Kg,20.0,25.0,22.5
Cabbage(Local),2015-03-20,Kg,12.0,15.0,13.5
Cauli Local,2015-03-20,Kg,15.0,20.0,17.5
Cauli Terai,2015-03-20,Kg,12.0,15.0,13.5
Raddish Red,2015-03-20,Kg,45.0,50.0,47.5
Raddish White(Local),2015-03-20,Kg,25.0,30.0,27.5
Brinjal Long,2015-03-20,Kg,25.0,30.0,27.5
Brinjal Round,2015-03-20,Kg,45.0,50.0,47.5
Cow pea(Long),2015-03-20,Kg,80.0,90.0,85.0
Green Peas,2015-03-20,Kg,40.0,45.0,42.5
French Bean(Local),2015-03-20,Kg,55.0,60.0,57.5
Sword Bean,2015-03-20,Kg,50.0,55.0,52.5
Bitter Gourd,2015-03-20,Kg,80.0,90.0,85.0
Bottle Gourd,2015-03-20,Kg,35.0,40.0,37.5
Pointed Gourd(Local),2015-03-20,Kg,55.0,60.0,57.5
Pumpkin,2015-03-20,Kg,28.0,32.0,30.0
Squash(Long),2015-03-20,Kg,18.0,20.0,19.0
Turnip,2015-03-20,Kg,55.0,60.0,57.5
Okara,2015-03-20,Kg,70.0,80.0,75.0
Barela,2015-03-20,Kg,35.0,40.0,37.5
Arum,2015-03-20,Kg,30.0,35.0,32.5
Christophine,2015-03-20,Kg,25.0,30.0,27.5
Brd Leaf Mustard,2015-03-20,Kg,20.0,25.0,22.5
Spinach Leaf,2015-03-20,Kg,35.0,40.0,37.5
Cress Leaf,2015-03-20,Kg,35.0,40.0,37.5
Mustard Leaf,2015-03-20,Kg,40.0,45.0,42.5
Fenugreek Leaf,2015-03-20,Kg,55.0,60.0,57.5
Onion Green,2015-03-20,Kg,30.0,35.0,32.5
Bakula,2015-03-20,Kg,32.0,36.0,34.0
Yam,2015-03-20,Kg,28.0,30.0,29.0
Mushroom(Kanya),2015-03-20,Kg,140.0,150.0,145.0
Asparagus,2015-03-20,Kg,500.0,600.0,550.0
Brocauli,2015-03-20,Kg,35.0,40.0,37.5
Sugarbeet,2015-03-20,Kg,45.0,50.0,47.5
Drumstick,2015-03-20,Kg,190.0,200.0,195.0
Bauhania flower,2015-03-20,Kg,90.0,100.0,95.0
Red Cabbbage,2015-03-20,Kg,60.0,70.0,65.0
Lettuce,2015-03-20,Kg,35.0,40.0,37.5
Celery,2015-03-20,Kg,70.0,80.0,75.0
Parseley,2015-03-20,Kg,150.0,160.0,155.0
Fennel Leaf,2015-03-20,Kg,55.0,60.0,57.5
Mint,2015-03-20,Kg,160.0,170.0,165.0
Turnip A,2015-03-20,Kg,55.0,60.0,57.5
Tamarind,2015-03-20,Kg,100.0,110.0,105.0
Bamboo Shoot,2015-03-20,Kg,60.0,70.0,65.0
Tofu,2015-03-20,Kg,60.0,70.0,65.0
Gundruk,2015-03-20,Kg,160.0,170.0,165.0
Apple(Jholey),2015-03-20,Kg,100.0,110.0,105.0
Banana,2015-03-20,Doz,60.0,70.0,65.0
Lime,2015-03-20,Kg,400.0,500.0,450.0
Pomegranate,2015-03-20,Kg,200.0,210.0,205.0
Grapes(Green),2015-03-20,Kg,90.0,100.0,95.0
Orange(Nepali),2015-03-20,Kg,60.0,70.0,65.0
Water Melon(Green),2015-03-20,Kg,34.0,36.0,35.0
Sweet Orange,2015-03-20,Kg,70.0,80.0,75.0
Pineapple,2015-03-20,1 Pc,80.0,90.0,85.0
Cucumber(Local),2015-03-20,Kg,25.0,30.0,27.5
Jack Fruit,2015-03-20,Kg,50.0,60.0,55.0
Pear(Local),2015-03-20,Kg,200.0,220.0,210.0
Papaya(Nepali),2015-03-20,Kg,45.0,50.0,47.5
Mombin,2015-03-20,Kg,100.0,110.0,105.0
Sugarcane,2015-03-20,1 Pc,40.0,50.0,45.0
Kinnow,2015-03-20,Kg,60.0,70.0,65.0
Ginger,2015-03-20,Kg,70.0,80.0,75.0
Chilli Dry,2015-03-20,Kg,190.0,200.0,195.0
Chilli Green,2015-03-20,Kg,70.0,80.0,75.0
Capsicum,2015-03-20,Kg,70.0,80.0,75.0
Garlic Green,2015-03-20,Kg,40.0,45.0,42.5
Coriander Green,2015-03-20,Kg,25.0,35.0,30.0
Garlic Dry Chinese,2015-03-20,Kg,130.0,135.0,132.5
Garlic Dry Nepali,2015-03-20,Kg,90.0,100.0,95.0
Clive Dry,2015-03-20,Kg,110.0,120.0,115.0
Clive Green,2015-03-20,Kg,55.0,60.0,57.5
Fish Fresh,2015-03-20,Kg,210.0,220.0,215.0
Tomato Big(Nepali),2015-03-21,Kg,35.0,40.0,37.5
Tomato Small(Local),2015-03-21,Kg,50.0,60.0,55.0
Potato Red,2015-03-21,Kg,18.0,20.0,19.0
Potato White,2015-03-21,Kg,14.0,16.0,15.0
Onion Dry (Indian),2015-03-21,Kg,35.0,38.0,36.5
Carrot(Local),2015-03-21,Kg,20.0,25.0,22.5
Cabbage(Local),2015-03-21,Kg,12.0,16.0,14.0
Cauli Local,2015-03-21,Kg,15.0,20.0,17.5
Cauli Terai,2015-03-21,Kg,12.0,15.0,13.5
Raddish Red,2015-03-21,Kg,40.0,45.0,42.5
Raddish White(Local),2015-03-21,Kg,20.0,25.0,22.5
Brinjal Long,2015-03-21,Kg,25.0,30.0,27.5
Brinjal Round,2015-03-21,Kg,45.0,50.0,47.5
Cow pea(Long),2015-03-21,Kg,110.0,120.0,115.0
Green Peas,2015-03-21,Kg,40.0,45.0,42.5
French Bean(Local),2015-03-21,Kg,55.0,60.0,57.5
Sword Bean,2015-03-21,Kg,40.0,45.0,42.5
Bitter Gourd,2015-03-21,Kg,90.0,100.0,95.0
Bottle Gourd,2015-03-21,Kg,35.0,40.0,37.5
Pointed Gourd(Local),2015-03-21,Kg,50.0,60.0,55.0
Smooth Gourd,2015-03-21,Kg,70.0,80.0,75.0
Pumpkin,2015-03-21,Kg,30.0,32.0,31.0
Squash(Long),2015-03-21,Kg,16.0,20.0,18.0
Turnip,2015-03-21,Kg,55.0,60.0,57.5
Okara,2015-03-21,Kg,70.0,80.0,75.0
Barela,2015-03-21,Kg,35.0,40.0,37.5
Arum,2015-03-21,Kg,30.0,35.0,32.5
Christophine,2015-03-21,Kg,25.0,30.0,27.5
Brd Leaf Mustard,2015-03-21,Kg,20.0,25.0,22.5
Spinach Leaf,2015-03-21,Kg,30.0,35.0,32.5
Cress Leaf,2015-03-21,Kg,30.0,35.0,32.5
Mustard Leaf,2015-03-21,Kg,40.0,45.0,42.5
Fenugreek Leaf,2015-03-21,Kg,55.0,60.0,57.5
Onion Green,2015-03-21,Kg,25.0,30.0,27.5
Bakula,2015-03-21,Kg,30.0,35.0,32.5
Yam,2015-03-21,Kg,28.0,30.0,29.0
Mushroom(Kanya),2015-03-21,Kg,140.0,150.0,145.0
Asparagus,2015-03-21,Kg,500.0,600.0,550.0
Brocauli,2015-03-21,Kg,35.0,40.0,37.5
Sugarbeet,2015-03-21,Kg,50.0,55.0,52.5
Drumstick,2015-03-21,Kg,180.0,190.0,185.0
Bauhania flower,2015-03-21,Kg,90.0,100.0,95.0
Red Cabbbage,2015-03-21,Kg,60.0,70.0,65.0
Lettuce,2015-03-21,Kg,35.0,40.0,37.5
Celery,2015-03-21,Kg,70.0,80.0,75.0
Parseley,2015-03-21,Kg,130.0,140.0,135.0
Fennel Leaf,2015-03-21,Kg,55.0,60.0,57.5
Mint,2015-03-21,Kg,150.0,160.0,155.0
Turnip A,2015-03-21,Kg,55.0,60.0,57.5
Tamarind,2015-03-21,Kg,100.0,110.0,105.0
Bamboo Shoot,2015-03-21,Kg,60.0,70.0,65.0
Tofu,2015-03-21,Kg,60.0,70.0,65.0
Gundruk,2015-03-21,Kg,180.0,200.0,190.0
Apple(Jholey),2015-03-21,Kg,100.0,110.0,105.0
Banana,2015-03-21,Doz,60.0,70.0,65.0
Lime,2015-03-21,Kg,400.0,500.0,450.0
Pomegranate,2015-03-21,Kg,200.0,210.0,205.0
Grapes(Green),2015-03-21,Kg,90.0,100.0,95.0
Orange(Nepali),2015-03-21,Kg,65.0,70.0,67.5
Water Melon(Green),2015-03-21,Kg,30.0,35.0,32.5
Sweet Orange,2015-03-21,Kg,70.0,80.0,75.0
Pineapple,2015-03-21,1 Pc,80.0,90.0,85.0
Cucumber(Local),2015-03-21,Kg,25.0,30.0,27.5
Jack Fruit,2015-03-21,Kg,50.0,60.0,55.0
Papaya(Nepali),2015-03-21,Kg,45.0,50.0,47.5
Mombin,2015-03-21,Kg,100.0,110.0,105.0
Sugarcane,2015-03-21,1 Pc,40.0,50.0,45.0
Kinnow,2015-03-21,Kg,60.0,70.0,65.0
Ginger,2015-03-21,Kg,80.0,90.0,85.0
Chilli Dry,2015-03-21,Kg,190.0,200.0,195.0
Chilli Green,2015-03-21,Kg,60.0,70.0,65.0
Capsicum,2015-03-21,Kg,60.0,70.0,65.0
Garlic Green,2015-03-21,Kg,40.0,50.0,45.0
Coriander Green,2015-03-21,Kg,40.0,50.0,45.0
Garlic Dry Chinese,2015-03-21,Kg,130.0,135.0,132.5
Garlic Dry Nepali,2015-03-21,Kg,80.0,90.0,85.0
Clive Dry,2015-03-21,Kg,110.0,120.0,115.0
Clive Green,2015-03-21,Kg,60.0,70.0,65.0
Fish Fresh,2015-03-21,Kg,210.0,220.0,215.0
Tomato Big(Nepali),2015-03-22,Kg,35.0,40.0,37.5
Tomato Small(Local),2015-03-22,Kg,50.0,60.0,55.0
Potato Red,2015-03-22,Kg,18.0,20.0,19.0
Potato White,2015-03-22,Kg,14.0,17.0,15.5
Onion Dry (Indian),2015-03-22,Kg,35.0,38.0,36.5
Carrot(Local),2015-03-22,Kg,35.0,38.0,36.5
Cabbage(Local),2015-03-22,Kg,12.0,16.0,14.0
Cauli Local,2015-03-22,Kg,15.0,20.0,17.5
Cauli Terai,2015-03-22,Kg,12.0,15.0,13.5
Raddish Red,2015-03-22,Kg,40.0,45.0,42.5
Raddish White(Local),2015-03-22,Kg,20.0,25.0,22.5
Brinjal Long,2015-03-22,Kg,25.0,30.0,27.5
Brinjal Round,2015-03-22,Kg,45.0,50.0,47.5
Cow pea(Long),2015-03-22,Kg,110.0,120.0,115.0
Green Peas,2015-03-22,Kg,40.0,45.0,42.5
French Bean(Local),2015-03-22,Kg,55.0,60.0,57.5
Sword Bean,2015-03-22,Kg,40.0,45.0,42.5
Bitter Gourd,2015-03-22,Kg,90.0,100.0,95.0
Bottle Gourd,2015-03-22,Kg,35.0,40.0,37.5
Pointed Gourd(Local),2015-03-22,Kg,50.0,60.0,55.0
Smooth Gourd,2015-03-22,Kg,70.0,80.0,75.0
Pumpkin,2015-03-22,Kg,30.0,32.0,31.0
Squash(Long),2015-03-22,Kg,18.0,20.0,19.0
Turnip,2015-03-22,Kg,55.0,60.0,57.5
Okara,2015-03-22,Kg,70.0,80.0,75.0
Barela,2015-03-22,Kg,35.0,40.0,37.5
Arum,2015-03-22,Kg,30.0,35.0,32.5
Christophine,2015-03-22,Kg,25.0,30.0,27.5
Brd Leaf Mustard,2015-03-22,Kg,20.0,25.0,22.5
Spinach Leaf,2015-03-22,Kg,30.0,35.0,32.5
Cress Leaf,2015-03-22,Kg,30.0,35.0,32.5
Mustard Leaf,2015-03-22,Kg,40.0,45.0,42.5
Fenugreek Leaf,2015-03-22,Kg,55.0,60.0,57.5
Onion Green,2015-03-22,Kg,30.0,35.0,32.5
Bakula,2015-03-22,Kg,30.0,35.0,32.5
Yam,2015-03-22,Kg,28.0,30.0,29.0
Mushroom(Kanya),2015-03-22,Kg,140.0,150.0,145.0
Asparagus,2015-03-22,Kg,500.0,600.0,550.0
Brocauli,2015-03-22,Kg,35.0,40.0,37.5
Sugarbeet,2015-03-22,Kg,50.0,55.0,52.5
Drumstick,2015-03-22,Kg,180.0,190.0,185.0
Bauhania flower,2015-03-22,Kg,90.0,100.0,95.0
Red Cabbbage,2015-03-22,Kg,60.0,70.0,65.0
Lettuce,2015-03-22,Kg,35.0,40.0,37.5
Celery,2015-03-22,Kg,70.0,80.0,75.0
Parseley,2015-03-22,Kg,130.0,140.0,135.0
Fennel Leaf,2015-03-22,Kg,55.0,60.0,57.5
Mint,2015-03-22,Kg,150.0,160.0,155.0
Turnip A,2015-03-22,Kg,55.0,60.0,57.5
Tamarind,2015-03-22,Kg,100.0,110.0,105.0
Bamboo Shoot,2015-03-22,Kg,60.0,70.0,65.0
Tofu,2015-03-22,Kg,60.0,70.0,65.0
Gundruk,2015-03-22,Kg,180.0,200.0,190.0
Apple(Jholey),2015-03-22,Kg,100.0,110.0,105.0
Banana,2015-03-22,Doz,60.0,70.0,65.0
Lime,2015-03-22,Kg,400.0,500.0,450.0
Pomegranate,2015-03-22,Kg,200.0,210.0,205.0
Grapes(Green),2015-03-22,Kg,90.0,100.0,95.0
Orange(Nepali),2015-03-22,Kg,65.0,70.0,67.5
Water Melon(Green),2015-03-22,Kg,30.0,35.0,32.5
Sweet Orange,2015-03-22,Kg,70.0,80.0,75.0
Pineapple,2015-03-22,1 Pc,80.0,90.0,85.0
Cucumber(Local),2015-03-22,Kg,25.0,30.0,27.5
Jack Fruit,2015-03-22,Kg,60.0,70.0,65.0
Papaya(Nepali),2015-03-22,Kg,45.0,50.0,47.5
Mombin,2015-03-22,Kg,100.0,110.0,105.0
Sugarcane,2015-03-22,1 Pc,40.0,50.0,45.0
Kinnow,2015-03-22,Kg,60.0,70.0,65.0
Ginger,2015-03-22,Kg,80.0,90.0,85.0
Chilli Dry,2015-03-22,Kg,190.0,200.0,195.0
Chilli Green,2015-03-22,Kg,60.0,70.0,65.0
Capsicum,2015-03-22,Kg,60.0,70.0,65.0
Garlic Green,2015-03-22,Kg,40.0,50.0,45.0
Coriander Green,2015-03-22,Kg,40.0,50.0,45.0
Garlic Dry Chinese,2015-03-22,Kg,130.0,135.0,132.5
Garlic Dry Nepali,2015-03-22,Kg,80.0,90.0,85.0
Clive Dry,2015-03-22,Kg,110.0,120.0,115.0
Clive Green,2015-03-22,Kg,60.0,70.0,65.0
Fish Fresh,2015-03-22,Kg,210.0,220.0,215.0
Tomato Big(Nepali),2015-03-23,Kg,35.0,40.0,37.5
Tomato Small(Local),2015-03-23,Kg,50.0,55.0,52.5
Potato Red,2015-03-23,Kg,18.0,20.0,19.0
Potato White,2015-03-23,Kg,14.0,16.0,15.0
Onion Dry (Indian),2015-03-23,Kg,35.0,38.0,36.5
Carrot(Local),2015-03-23,Kg,18.0,20.0,19.0
Cabbage(Local),2015-03-23,Kg,12.0,14.0,13.0
Cauli Local,2015-03-23,Kg,16.0,20.0,18.0
Cauli Terai,2015-03-23,Kg,12.0,15.0,13.5
Raddish Red,2015-03-23,Kg,40.0,45.0,42.5
Raddish White(Local),2015-03-23,Kg,22.0,26.0,24.0
Brinjal Long,2015-03-23,Kg,30.0,35.0,32.5
Brinjal Round,2015-03-23,Kg,40.0,45.0,42.5
Cow pea(Long),2015-03-23,Kg,110.0,120.0,115.0
Green Peas,2015-03-23,Kg,40.0,45.0,42.5
French Bean(Local),2015-03-23,Kg,50.0,55.0,52.5
Sword Bean,2015-03-23,Kg,40.0,45.0,42.5
Bitter Gourd,2015-03-23,Kg,70.0,80.0,75.0
Bottle Gourd,2015-03-23,Kg,30.0,35.0,32.5
Pointed Gourd(Local),2015-03-23,Kg,70.0,80.0,75.0
Smooth Gourd,2015-03-23,Kg,70.0,80.0,75.0
Pumpkin,2015-03-23,Kg,30.0,35.0,32.5
Squash(Long),2015-03-23,Kg,15.0,18.0,16.5
Turnip,2015-03-23,Kg,55.0,60.0,57.5
Okara,2015-03-23,Kg,70.0,80.0,75.0
Sweet Potato,2015-03-23,Kg,45.0,50.0,47.5
Barela,2015-03-23,Kg,30.0,35.0,32.5
Arum,2015-03-23,Kg,30.0,35.0,32.5
Brd Leaf Mustard,2015-03-23,Kg,20.0,25.0,22.5
Spinach Leaf,2015-03-23,Kg,35.0,40.0,37.5
Cress Leaf,2015-03-23,Kg,35.0,40.0,37.5
Mustard Leaf,2015-03-23,Kg,40.0,45.0,42.5
Fenugreek Leaf,2015-03-23,Kg,55.0,60.0,57.5
Onion Green,2015-03-23,Kg,30.0,35.0,32.5
Bakula,2015-03-23,Kg,28.0,30.0,29.0
Yam,2015-03-23,Kg,26.0,30.0,28.0
Mushroom(Kanya),2015-03-23,Kg,80.0,90.0,85.0
Asparagus,2015-03-23,Kg,500.0,550.0,525.0
Brocauli,2015-03-23,Kg,35.0,40.0,37.5
Sugarbeet,2015-03-23,Kg,45.0,50.0,47.5
Drumstick,2015-03-23,Kg,150.0,160.0,155.0
Bauhania flower,2015-03-23,Kg,90.0,110.0,100.0
Red Cabbbage,2015-03-23,Kg,50.0,60.0,55.0
Lettuce,2015-03-23,Kg,35.0,40.0,37.5
Celery,2015-03-23,Kg,70.0,80.0,75.0
Parseley,2015-03-23,Kg,150.0,160.0,155.0
Fennel Leaf,2015-03-23,Kg,55.0,60.0,57.5
Mint,2015-03-23,Kg,160.0,170.0,165.0
Turnip A,2015-03-23,Kg,55.0,60.0,57.5
Tamarind,2015-03-23,Kg,100.0,110.0,105.0
Bamboo Shoot,2015-03-23,Kg,60.0,70.0,65.0
Tofu,2015-03-23,Kg,60.0,70.0,65.0
Gundruk,2015-03-23,Kg,190.0,200.0,195.0
Apple(Jholey),2015-03-23,Kg,100.0,110.0,105.0
Banana,2015-03-23,Doz,60.0,70.0,65.0
Lime,2015-03-23,Kg,400.0,500.0,450.0
Pomegranate,2015-03-23,Kg,200.0,210.0,205.0
Grapes(Green),2015-03-23,Kg,90.0,100.0,95.0
Orange(Nepali),2015-03-23,Kg,65.0,70.0,67.5
Water Melon(Green),2015-03-23,Kg,30.0,35.0,32.5
Sweet Orange,2015-03-23,Kg,70.0,80.0,75.0
Pineapple,2015-03-23,1 Pc,80.0,90.0,85.0
Cucumber(Local),2015-03-23,Kg,50.0,60.0,55.0
Jack Fruit,2015-03-23,Kg,50.0,60.0,55.0
Papaya(Nepali),2015-03-23,Kg,45.0,50.0,47.5
Mombin,2015-03-23,Kg,100.0,110.0,105.0
Sugarcane,2015-03-23,1 Pc,40.0,50.0,45.0
Kinnow,2015-03-23,Kg,60.0,65.0,62.5
Ginger,2015-03-23,Kg,80.0,90.0,85.0
Chilli Dry,2015-03-23,Kg,190.0,200.0,195.0
Chilli Green,2015-03-23,Kg,70.0,80.0,75.0
Capsicum,2015-03-23,Kg,100.0,110.0,105.0
